Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Wolumen
2019-01-22,38.6424,38.7604,36.618,36.9208,66643407.156883
2019-01-23,37.4744,38.3607,36.7369,37.0497,59538427.996108
2019-01-24,37.896,39.3469,37.8491,39.1701,71420357.717996
2019-01-25,38.5744,39.9215,37.5463,39.7436,116374888.70567
2019-01-28,33.888,35.1542,32.5091,34.2498,253006496.42121
2019-01-29,33.7883,34.2718,32.5121,32.654,116245134.57431
2019-01-30,33.4204,34.2398,32.6191,34.095,98142056.933331
2019-01-31,34.062,36.0305,33.845,35.6738,84907476.794769
2019-02-01,35.8605,36.4302,35.3889,35.9185,62966057.684299
2019-02-04,36.0765,37.3944,35.8565,37.0237,53250236.856403
2019-02-05,37.1426,37.5793,36.8049,37.2145,54642877.825617
2019-02-06,37.5443,38.6144,37.4924,37.972,70765093.099823
2019-02-07,37.5064,37.5263,36.1564,36.586,64182274.866814
2019-02-08,35.9135,36.8778,35.7686,36.7719,46501270.687385
2019-02-11,36.3302,36.8738,35.8605,36.3462,49883565.74019
2019-02-12,36.7289,37.6722,36.586,37.5163,59542324.973375
2019-02-13,37.8121,38.6724,37.6742,37.942,60984043.437495
2019-02-14,37.932,38.6304,37.4994,38.3477,83336917.897344
2019-02-15,40.4361,40.6659,38.8204,39.0441,152794491.0599
2019-02-19,38.9402,39.6796,38.7504,38.8723,55596626.483778
2019-02-20,39.1641,40.0164,39.0521,39.3469,54498265.34256
2019-02-21,39.4739,39.7196,38.5106,38.6574,45185751.63885
2019-02-22,39.1741,39.6936,39.0371,39.5068,40470661.338598
2019-02-25,40.3392,41.0156,39.2939,39.3819,66086145.412306
2019-02-26,39.3339,39.8915,38.6524,38.9842,49206827.716465
2019-02-27,38.8424,39.1071,37.999,38.5674,50394772.298885
2019-02-28,38.5046,38.7304,38.0989,38.3207,32700407.912339
2019-03-01,38.8224,39.2869,38.2347,38.8643,35945315.001579
2019-03-04,39.25,39.4798,38.3807,38.9472,41259103.70376
2019-03-05,38.7924,39.264,38.2447,38.8823,36522722.13711
2019-03-06,38.7944,38.8773,37.7461,37.7741,40608605.727271
2019-03-07,37.5363,37.6342,36.618,37.0797,45296084.932814
2019-03-08,36.1862,37.5293,35.9705,37.4244,42509467.974441
2019-03-11,37.6592,40.2592,37.1865,40.0294,86518015.236322
2019-03-12,40.3092,40.8389,39.5467,40.3712,58325163.069099
2019-03-13,40.7489,42.1838,40.6729,41.8889,77377869.220475
2019-03-14,41.9809,42.1008,41.0506,41.1286,52268026.453642
2019-03-15,41.5592,42.6094,41.5243,42.1868,66565566.687239
2019-03-18,42.4975,43.0391,41.6991,41.9709,49008271.02036
2019-03-19,42.9171,44.0953,42.7474,43.6546,86039647.766491
